Jenis Produk,Jumlah Order,Harga,Year,Month,Day,High_Value
40,-0.3620084949752892,0.028684905689336133,-1.5719312141233421,0.22482602837065738,-1.1514517803561932,0
49,-0.3620084949752892,0.05849719236842326,-1.5719312141233421,0.22482602837065738,-1.1514517803561932,1
21,1.2381473652760844,-0.2843441044410787,-1.5719312141233421,0.22482602837065738,-1.1514517803561932,1
21,-0.3620084949752892,-0.15018881438518664,-1.5719312141233421,0.22482602837065738,-1.1514517803561932,0
29,-0.3620084949752892,-0.04584581100838169,-1.5719312141233421,0.22482602837065738,-0.91570596822352,0
29,-0.562027977506711,0.05849719236842326,-1.5719312141233421,0.22482602837065738,-0.7978330621571834,0
72,-0.3620084949752892,-0.001127380989750996,-1.5719312141233421,0.22482602837065738,-0.7978330621571834,0
79,-0.3620084949752892,-0.2098133877433609,-1.5719312141233421,0.22482602837065738,-0.6799601560908468,0
59,-0.16198901244386749,-0.2545318177619916,-1.5719312141233421,0.22482602837065738,-0.6799601560908468,0
33,-0.562027977506711,0.028684905689336133,-1.5719312141233421,0.22482602837065738,-0.6799601560908468,0
33,-0.562027977506711,0.028684905689336133,-1.5719312141233421,0.22482602837065738,-0.6799601560908468,0
29,-0.562027977506711,-0.030939667668838124,-1.5719312141233421,0.22482602837065738,-0.5620872500245102,0
72,-0.3620084949752892,0.0883094790475104,-1.5719312141233421,0.22482602837065738,-0.5620872500245102,1
21,-0.3620084949752892,-0.2545318177619916,-1.5719312141233421,0.22482602837065738,-0.44421434395817366,0
33,-0.562027977506711,0.028684905689336133,-1.5719312141233421,0.22482602837065738,-0.44421434395817366,0
33,-0.562027977506711,0.028684905689336133,-1.5719312141233421,0.22482602837065738,-0.44421434395817366,0
29,0.03803047008755421,-0.12037652770609951,-1.5719312141233421,0.22482602837065738,-0.44421434395817366,1
20,-0.3620084949752892,-0.15018881438518664,-1.5719312141233421,0.22482602837065738,-0.32634143789183706,0
72,-0.3620084949752892,0.0883094790475104,-1.5719312141233421,0.22482602837065738,-0.32634143789183706,1
33,-0.3620084949752892,0.14793405240568466,-1.5719312141233421,0.22482602837065738,-0.32634143789183706,1
21,0.43806943515039765,-0.2694379611015352,-1.5719312141233421,0.22482602837065738,-0.32634143789183706,1
21,-0.562027977506711,-0.3290625344597094,-1.5719312141233421,0.22482602837065738,-0.32634143789183706,0
52,-0.16198901244386749,-0.4184993944969708,-1.5719312141233421,0.22482602837065738,-0.20846853182550046,0
65,-0.16198901244386749,-0.18000110106427378,-1.5719312141233421,0.22482602837065738,0.027277280307172747,0
1,0.03803047008755421,0.17774633908477178,-1.5719312141233421,0.22482602837065738,0.027277280307172747,1
17,-0.3620084949752892,0.14793405240568466,-1.5719312141233421,0.22482602837065738,0.027277280307172747,1
63,0.43806943515039765,-0.22471953108290446,-1.5719312141233421,0.22482602837065738,0.027277280307172747,1
17,0.43806943515039765,-0.2470787460922198,-1.5719312141233421,0.22482602837065738,0.027277280307172747,1
29,0.03803047008755421,-0.030939667668838124,-1.5719312141233421,0.22482602837065738,0.027277280307172747,1
42,-0.3620084949752892,0.14793405240568466,-1.5719312141233421,0.22482602837065738,0.027277280307172747,1
26,-0.3620084949752892,0.05849719236842326,-1.5719312141233421,0.22482602837065738,0.027277280307172747,1
29,0.03803047008755421,0.013778762349792568,-1.5719312141233421,0.22482602837065738,0.14515018637350935,1
33,0.03803047008755421,0.08085640737773861,-1.5719312141233421,0.22482602837065738,0.14515018637350935,1
79,0.03803047008755421,-0.35887482113879654,-1.5719312141233421,0.22482602837065738,0.14515018637350935,0
17,-0.3620084949752892,-0.2172664594131327,-1.5719312141233421,0.22482602837065738,0.38089599850618255,0
26,-0.562027977506711,0.14793405240568466,-1.5719312141233421,0.22482602837065738,0.38089599850618255,0
80,-0.562027977506711,-0.23962567442244803,-1.5719312141233421,0.22482602837065738,0.38089599850618255,0
49,-0.3620084949752892,0.028684905689336133,-1.5719312141233421,0.22482602837065738,0.38089599850618255,0
